Command-A	选中最前面的 Finder 窗口中的所有项（如果未打开任何窗口则选中桌面内容） 
Option-Command-A	取消选择所有项 
Shift-Command-A	打开“应用程序”文件夹 
Command-C	拷贝所选项/文本 
Shift-Command-C	打开“电脑”窗口 
Command-D	复制所选项 
Shift-Command-D	打开桌面文件夹 
Command-E	推出 
Command-F	查找任何匹配 Spotlight 属性的内容 
Shift-Command-F	查找 Spotlight 文件名匹配项 
Option-Command-F	转至已打开 Spotlight 窗口中的搜索栏 
Shift-Command-G	前往文件夹 
Shift-Command-H	打开当前所登录用户帐户的个人文件夹 
Command-I	查看简介 
Option-Command-I	显示检查器 
Control-Command-I	查看摘要信息 
Shift-Command-I	打开 iDisk 
Command-J	查看“显示”选项 
Command-K	连接服务器 
Shift-Command-K	打开“网络”窗口 
Command-L	为所选项创建替身 
Command-M	最小化窗口 
Option-Command-M	最小化所有窗口 
Command-N	新建 Finder 窗口 
Shift-Command-N	新建文件夹 
Option-Command-N	新建智能文件夹 
Command-O	打开所选项 
Shift-Command-Q	注销 
Option-Shift-Command-Q	立即注销 
Command-R	显示（替身的）原身 
Command-T	添加到工具条 
Shift-Command-T	添加到个人收藏 
Option-Command-T	在 Finder 窗口中隐藏工具栏/显示工具栏 
Shift-Command-U	打开“实用工具”文件夹 
Command-V	粘贴 
Command-W	关闭窗口 
Option-Command-W	关闭所有窗口 
Command-X	剪切 
Option-Command-Y	幻灯片显示（Mac OS X 10.5 或更高版本） 
Command-Z	还原/重做 
Command-1	显示为图标 
Command-2	显示为列表 
Command-3	显示为分栏 
Command-4	显示为 Cover Flow（Mac OS X 10.5 或更高版本） 
Command-,（Command 加逗号键）	打开 Finder 偏好设置 
Command-`（重音符键 - US 英语键盘布局中 Tab 键的上方）	循环显示打开的 Finder 窗口 
Command-Shift-?	访问 Mac 帮助 
Option-Shift-Command-esc	强制退出 Finder 
Command-[	后退 
Command-]	前进 
Command-上箭头	打开父文件夹 ß
Control-Command-上箭头	在新窗口中打开父文件夹 
Command-下箭头	打开高亮显示的项 
Command-Tab	切换应用程序 - 向前循环 

Command-Delete	移到废纸篓 
Shift-Command-Delete	清倒废纸篓 
Option-Shift-Command-Delete	清倒废纸篓（不显示确认对话框） 
空格键（或 Command-Y）	快速查看（Mac OS X 10.5 或更高版本） 
拖移时按 Command 键	将拖移的项移到其他宗卷/位置（按住键时指针图标发生变化 - 请参阅此文章） 
拖移时按 Option 键	拷贝拖移的项（按住键时指针图标发生变化 - 请参阅此文章） 
拖移时按 Option-Command 组合键	为拖移的项创建替身（按住键时指针图标发生变化 - 请参阅此文章）
